기준 년코드,기준_분기_코드,상권_코드,상권_코드_명,행정동명,시군구명,총_생활인구_수,남성,여성,10대,20대,30대,40대,50대,60대_이상,00~06시,06~11시,11~14시,14~17시,17~21시,21~24시,월요일,화요일,수요일,목요일,금요일,토요일,일요일
2021,4,2110544,망리단길,망원1동,마포구,4159473,1809519,2349954,473232,782484,929854,685926,502430,785547,1191399,815317,437547,452934,684784,577492,583549,577541,578889,580907,586203,624814,627572
2021,4,2110543,중암중학교,성산2동,마포구,89406,42318,47087,20085,10586,11961,17203,13949,15623,19586,19756,11458,11825,15612,11171,12956,13009,12976,12845,12703,12300,12616
2021,4,2110542,마포구청역 7번,망원2동,마포구,2053355,929667,1123687,289223,313543,375127,377894,286925,410644,592965,429087,218417,212396,319861,280630,292261,287489,288386,288683,293312,299529,303694
2021,4,2110541,동교초등학교,망원2동,마포구,1323485,596496,726988,221081,201559,232129,230068,184250,254397,356561,262112,149644,154765,225425,174977,187037,182898,182230,182987,183754,199800,204779
2021,4,2110540,망원나들목체육관,망원1동,마포구,482058,240916,241142,65254,69277,92774,86842,70342,97567,164439,106151,41349,38544,61502,70072,68083,67192,67200,67333,67541,71215,73494
2021,4,2110539,미근동,충현동,서대문구,206502,107983,98519,13172,29378,55035,52158,33196,23562,23927,51286,42177,41388,33408,14315,32883,36873,36823,36162,33987,15619,14152
2021,4,2110538,충정로역 3번,충현동,서대문구,227217,111193,116025,16696,34843,51541,45047,36405,42686,47135,50794,33928,33338,37384,24640,33526,35700,35630,35430,34259,26750,25920
2021,4,2110537,충정로현대아파트,충현동,서대문구,478197,243011,235187,34572,80246,114792,102083,77149,69354,60528,111997,88379,87518,86917,42859,73740,79859,79930,78784,74329,46632,44925
2021,4,2110536,돈의문센트레빌아파트입구,천연동,서대문구,65467,33024,32444,8500,8938,11269,12135,11073,13552,8859,12581,11305,11112,14300,7311,9766,10246,10505,10486,10047,7411,7006
2021,4,2110535,영천시장입구,천연동,서대문구,876780,405343,471437,142708,106846,123082,150961,140819,212361,269016,186045,89802,81662,127508,122746,126807,126964,125708,125159,124737,123102,124302
